inn,name,site,support_team_size_min,support_evidence,evidence_url,evidence_type,source,has_support_email,has_contact_form,has_online_chat,has_messengers,has_support_section,has_kb_or_faq,mentions_24_7
Unknown,Авито,http://www.avito.ru,12,Оценка 10+ на основании сменного графика работы (24/7),https://hh.ru/vacancy/128863470,jobs,hh_api,0,0,0,0,0,0,1
Unknown,WILDBERRIES,https://career.wb.ru/,12,Оценка 10+ на основании сменного графика работы (24/7),https://hh.ru/vacancy/125502414,jobs,hh_api,0,0,0,0,0,0,1
1766159764,Кронофарм,https://kronopharm.ru/,12,Оценка 10+ на основании сменного графика работы (24/7),https://hh.ru/vacancy/128868239,jobs,hh_api,1,1,1,0,0,0,1
Unknown,Ксения Кочеткова,,12,Оценка 10+ на основании сменного графика работы (24/7),https://hh.ru/vacancy/128836868,jobs,hh_api,0,0,0,0,0,0,1
343339306366,Телесейлз сервис,https://telesales-service.ru/,12,Оценка 10+ на основании сменного графика работы (24/7),https://hh.ru/vacancy/95039400,jobs,hh_api,1,0,0,0,0,0,1
4294967295,Кировский завод МАЯК,http://www.kzmayak.ru,12,Оценка 10+ на основании сменного графика работы (24/7),https://hh.ru/vacancy/128852971,jobs,hh_api,0,0,0,0,0,0,1
1766159828,УК Спектр-НН,https://vk.com/tc.krym,200,Упоминание размера команды (200 чел.),https://hh.ru/vacancy/128854233,jobs,hh_api,0,1,1,0,1,1,0
Unknown,ББС,https://b2b-s.ru/,12,Оценка 10+ на основании сменного графика работы (24/7),https://hh.ru/vacancy/128903474,jobs,hh_api,1,1,1,0,0,0,1
1766159857,ТК ЯРВЕТ,http://yarvet.ru,12,Оценка 10+ на основании сменного графика работы (24/7),https://hh.ru/vacancy/128877062,jobs,hh_api,0,1,1,0,1,1,1
Unknown,Хит Моторз Рус,,12,Оценка 10+ на основании сменного графика работы (24/7),https://hh.ru/vacancy/127454926,jobs,hh_api,0,0,0,0,0,0,1
1976470925,Т1,http://t1.ru,12,Оценка 10+ на основании сменного графика работы (24/7),https://hh.ru/vacancy/128909615,jobs,hh_api,1,1,1,0,0,0,1
Unknown,Финтех-Маркет,,800,Упоминание размера команды (800 чел.),https://hh.ru/vacancy/128916801,jobs,hh_api,0,0,0,0,0,0,0
Unknown,ШЕРЕМЕТЬЕВО ХЭНДЛИНГ,,12,Оценка 10+ на основании сменного графика работы (24/7),https://hh.ru/vacancy/126578015,jobs,hh_api,0,0,0,0,0,0,1
Unknown,PepsiCo,http://pepsico.ru,12,Оценка 10+ на основании сменного графика работы (24/7),https://hh.ru/vacancy/128851243,jobs,hh_api,0,1,1,0,0,0,1
Unknown,National Recruitment Agency,https://t.me/RMNJob,12,Оценка 10+ на основании сменного графика работы (24/7),https://hh.ru/vacancy/128231821,jobs,hh_api,0,1,1,1,0,0,1
Unknown,Т-Банк,https://l.tbank.ru/career_and_vacancies,12,Оценка 10+ на основании сменного графика работы (24/7),https://hh.ru/vacancy/128392463,jobs,hh_api,0,1,1,0,1,1,1
1764017127,Скорпион-Дент,http://scorpiondent.ru/,12,Оценка 10+ на основании сменного графика работы (24/7),https://hh.ru/vacancy/128744143,jobs,hh_api,0,1,1,0,0,0,1
Unknown,JUST WARM,https://just-warm.com/,12,Оценка 10+ на основании сменного графика работы (24/7),https://hh.ru/vacancy/128443537,jobs,hh_api,0,0,0,0,0,0,1
1766160090,Аэрофлот,http://www.aeroflot.ru,12,Оценка 10+ на основании сменного графика работы (24/7),https://hh.ru/vacancy/128781491,jobs,hh_api,0,0,0,0,0,0,1
1138308533,КСК Прованс,https://kskprovans.ru/,12,Оценка 10+ на основании сменного графика работы (24/7),https://hh.ru/vacancy/128586634,jobs,hh_api,0,1,1,0,0,0,1
6499161435,РосАл,http://www.rosal24.ru,12,Оценка 10+ на основании сменного графика работы (24/7),https://hh.ru/vacancy/128779338,jobs,hh_api,0,1,1,0,0,0,1
Unknown,ГК Орбита,https://orbita.center/,12,Оценка 10+ на основании сменного графика работы (24/7),https://hh.ru/vacancy/128710243,jobs,hh_api,0,0,0,0,0,0,1
303531336635,Единая Сервисная Платформа,https://ao-esp.ru/,12,Оценка 10+ на основании сменного графика работы (24/7),https://hh.ru/vacancy/127828970,jobs,hh_api,1,1,1,0,0,0,1
7840479938,Ювента,http://uventa.com,12,Оценка 10+ на основании сменного графика работы (24/7),https://hh.ru/vacancy/128832397,jobs,hh_api,0,0,0,0,0,0,1
Unknown,Системы Коммуникаций,,12,Оценка 10+ на основании сменного графика работы (24/7),https://hh.ru/vacancy/128130447,jobs,hh_api,0,0,0,0,0,0,1
1031323284,Beauty bar NA NOGTI,https://www.instagram.com/nanogti_khimki/?hl=ru,12,Оценка 10+ на основании сменного графика работы (24/7),https://hh.ru/vacancy/127900444,jobs,hh_api,0,1,1,0,0,0,1
Unknown,Часовой бренд Ракета,https://raketa.com/,12,Оценка 10+ на основании сменного графика работы (24/7),https://hh.ru/vacancy/128852392,jobs,hh_api,1,0,0,0,1,1,1
333139666639,GENESIS,https://genesis-group.ru,12,Оценка 10+ на основании сменного графика работы (24/7),https://hh.ru/vacancy/128858249,jobs,hh_api,1,1,1,0,1,1,1
Unknown,MedPoint24,http://medpoint24.ru/,12,Оценка 10+ на основании сменного графика работы (24/7),https://hh.ru/vacancy/122993036,jobs,hh_api,0,0,0,0,0,0,1
1766160165,Зубовский 13,https://gambrinus.ru/,12,Оценка 10+ на основании сменного графика работы (24/7),https://hh.ru/vacancy/128784543,jobs,hh_api,0,1,1,0,0,0,1
Unknown,Кибер клуб Кракен,,12,Оценка 10+ на основании сменного графика работы (24/7),https://hh.ru/vacancy/128798476,jobs,hh_api,0,0,0,0,0,0,1
